messageid,topics
3912,Архитектура|Тестирование|AI/ML
3913,Архитектура|Тестирование|AI/ML
3914,Управление командой|Архитектура|Тестирование|AI/ML
3915,Управление командой|Архитектура|Тестирование|AI/ML
3916,Управление командой|Архитектура|Тестирование
3917,Управление командой|Архитектура
3918,Управление командой|Архитектура
3919,Управление командой|Архитектура
3920,Управление командой|Архитектура|Конфликты и проблемы
3921,Управление командой|Архитектура
3922,Управление командой|Архитектура
3923,Управление командой|Архитектура
3924,Управление командой|Архитектура|Технический рост
3926,Архитектура|Технический рост
3927,Технический рост
3928,Технический рост
3929,Найм и HR|Технический рост
3930,Найм и HR|AI/ML|Технический рост
3931,AI/ML|Технический рост
3932,AI/ML|Технический рост
3933,AI/ML|Технический рост
3934,AI/ML|Технический рост
3936,AI/ML|Технический рост
3937,AI/ML|Конфликты и проблемы
3938,Тестирование|AI/ML|Конфликты и проблемы
3939,Процессы разработки|Архитектура|Тестирование|AI/ML|Конфликты и проблемы|Удаленка и офис
3940,Тестирование|AI/ML|Конфликты и проблемы
3941,Процессы разработки|Архитектура|Тестирование|AI/ML|Конфликты и проблемы|Удаленка и офис
3942,Процессы разработки|Архитектура|Тестирование|AI/ML|Конфликты и проблемы
3943,Управление командой|Архитектура|Тестирование|AI/ML|Конфликты и проблемы|Удаленка и офис
3944,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Конфликты и проблемы|Удаленка и офис
3945,Управление командой|Процессы разработки|Архитектура|Тестирование
3946,Управление командой|Процессы разработки|Архитектура|Тестирование
3947,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML
3948,Управление командой|Процессы разработки|Архитектура|Удаленка и офис
3949,Управление командой|Процессы разработки|Архитектура
3950,Управление командой|Процессы разработки|Архитектура
3951,Управление командой|Процессы разработки|Архитектура
3952,Управление командой|Процессы разработки|Архитектура
3953,Управление командой|Процессы разработки|Архитектура
3955,Процессы разработки|Архитектура
3956,Процессы разработки|Архитектура
3957,Архитектура
3958,Процессы разработки|Архитектура
3959,Общие вопросы
3960,Общие вопросы
3961,Общие вопросы
3962,Общие вопросы
3963,AI/ML
3964,AI/ML
3965,AI/ML
3966,AI/ML
3967,AI/ML
3968,AI/ML
3969,Управление командой|AI/ML
3970,Управление командой|AI/ML
3971,Общие вопросы
3972,Управление командой
3973,Управление командой|Найм и HR
3974,Управление командой|Найм и HR
3975,Управление командой|Найм и HR
3976,Управление командой|Процессы разработки|Найм и HR
3977,Управление командой|Процессы разработки|Найм и HR|Удаленка и офис
3978,Управление командой|Процессы разработки|Найм и HR|Удаленка и офис
3979,Управление командой|Метрики и KPI
3980,Управление командой|Метрики и KPI
3981,Управление командой|Процессы разработки|Архитектура|Метрики и KPI
3982,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3983,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3984,Управление командой|Процессы разработки|Найм и HR|Архитектура|Технический рост|Метрики и KPI
3985,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3986,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3987,Управление командой|Процессы разработки|Найм и HR|Архитектура|Технический рост|Метрики и KPI
3988,Управление командой|Процессы разработки|Найм и HR|Архитектура|Технический рост|Метрики и KPI
3989,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3990,Управление командой|Процессы разработки|Найм и HR|Архитектура|Метрики и KPI
3991,Управление командой|Процессы разработки|Найм и HR|Архитектура
3992,Управление командой|Найм и HR|Архитектура
3993,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы|Метрики и KPI
3994,Архитектура
3995,Архитектура
3996,Архитектура
3997,Архитектура
3998,Архитектура
3999,Архитектура
4000,Архитектура
4001,Конфликты и проблемы|Технический рост
4002,Управление командой|Найм и HR|Конфликты и проблемы|Технический рост
4003,Конфликты и проблемы|Технический рост
4004,Конфликты и проблемы|Технический рост
4005,AI/ML
4006,Общие вопросы
4007,Общие вопросы
4008,Общие вопросы
4011,AI/ML
4013,Найм и HR|Архитектура|AI/ML
4014,Управление командой|Найм и HR|Архитектура
4015,Управление командой|Найм и HR|Архитектура
4016,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4017,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4018,Управление командой|Процессы разработки|Найм и HR|Архитектура|AI/ML|Конфликты и проблемы
4019,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4020,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4021,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4022,Управление командой|Найм и HR|Архитектура|Конфликты и проблемы
4024,Управление командой|Процессы разработки|Найм и HR|Архитектура|AI/ML|Конфликты и проблемы
4025,Управление командой|Процессы разработки|Найм и HR|Конфликты и проблемы
4026,Управление командой|Конфликты и проблемы
4027,Управление командой|Конфликты и проблемы
4028,Управление командой
4029,Управление командой
4030,Управление командой|Процессы разработки|Найм и HR
4031,Управление командой|Найм и HR
4032,Управление командой|Найм и HR
4034,Управление командой|Найм и HR
4035,Управление командой|Найм и HR
4036,Управление командой|Найм и HR
4037,Управление командой|Найм и HR|Конфликты и проблемы
4038,Управление командой|Найм и HR
4039,Управление командой|Найм и HR
4040,Управление командой|Найм и HR
4041,Управление командой|Найм и HR
4042,Управление командой
4043,Управление командой
4044,Управление командой
4047,Управление командой
4049,Управление командой|Конфликты и проблемы
4048,Управление командой
4051,Управление командой|AI/ML
4052,Управление командой|AI/ML
4053,Управление командой|AI/ML
4054,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы
4055,Управление командой|AI/ML|Конфликты и проблемы
4056,Управление командой|Процессы разработки|AI/ML
4057,Управление командой|Процессы разработки|AI/ML
4058,Управление командой|Процессы разработки|AI/ML
4059,Управление командой|Процессы разработки|AI/ML
4060,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML
4061,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML
4062,Управление командой|Процессы разработки|Архитектура|Тестирование
4063,Управление командой|Процессы разработки|Архитектура|Тестирование
4064,Управление командой|Процессы разработки|Архитектура|Тестирование
4065,Управление командой|Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы|Технический рост
4066,Управление командой|Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы
4068,Управление командой|Процессы разработки|Конфликты и проблемы
4069,Управление командой|Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы|Технический рост
4070,Управление командой|Процессы разработки|Конфликты и проблемы
4071,Управление командой|Процессы разработки|Конфликты и проблемы
4072,Управление командой|Процессы разработки|Найм и HR|Конфликты и проблемы
4073,Управление командой|Процессы разработки|Конфликты и проблемы
4074,Управление командой
4075,Управление командой|Найм и HR|Конфликты и проблемы
4076,Управление командой
4077,Управление командой
4078,Управление командой
4079,Управление командой
4080,Общие вопросы
4081,Общие вопросы
4082,AI/ML
4083,Управление командой
4084,Управление командой|AI/ML
4085,Управление командой
4086,Управление командой
4088,Управление командой|Метрики и KPI
4090,Управление командой
4091,Управление командой|Метрики и KPI
4093,Управление командой
4094,Управление командой
4096,Управление командой
4098,Управление командой
4099,Управление командой
4101,Управление командой
4102,Управление командой
4103,Управление командой
4104,Управление командой|Процессы разработки|Архитектура
4105,Управление командой|Процессы разработки
4106,Управление командой
4107,Управление командой
4108,Управление командой|Процессы разработки
4109,Управление командой|Процессы разработки
4110,Управление командой|Процессы разработки|Удаленка и офис
4111,Управление командой|Процессы разработки|Найм и HR
4112,Управление командой|Процессы разработки|Найм и HR|Удаленка и офис
4113,Управление командой|Процессы разработки|Найм и HR|Метрики и KPI
4114,Управление командой|Процессы разработки|Найм и HR|Метрики и KPI
4115,Управление командой|Процессы разработки|Найм и HR|Удаленка и офис
4116,Управление командой|Процессы разработки|Найм и HR
4117,Управление командой|Процессы разработки|Найм и HR
4118,Управление командой|Процессы разработки|Тестирование
4119,Управление командой|Процессы разработки
4120,Управление командой|Процессы разработки|Тестирование
4122,Управление командой|Процессы разработки|Тестирование
4123,Управление командой|Процессы разработки|Тестирование
4124,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4125,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4126,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4127,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4129,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4130,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4131,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4132,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
4133,Управление командой|Процессы разработки|Найм и HR|Метрики и KPI
4134,Управление командой|Процессы разработки|Найм и HR|Метрики и KPI
4135,Управление командой|Процессы разработки|Метрики и KPI
4136,Управление командой|Процессы разработки
4137,Управление командой|Процессы разработки
4138,Процессы разработки|Найм и HR|Метрики и KPI
4139,Управление командой|Процессы разработки|Найм и HR|Тестирование|Конфликты и проблемы
4140,Управление командой|Процессы разработки|Найм и HR|Конфликты и проблемы
4141,Процессы разработки|Найм и HR|Конфликты и проблемы
4142,Управление командой|Найм и HR|Конфликты и проблемы
4143,Процессы разработки|Найм и HR|Конфликты и проблемы
4144,Найм и HR|Конфликты и проблемы
4145,Управление командой|Найм и HR|Конфликты и проблемы
4146,Управление командой|Найм и HR|Конфликты и проблемы
4148,Найм и HR|Конфликты и проблемы
4149,Процессы разработки|Найм и HR|AI/ML|Конфликты и проблемы
4150,Процессы разработки|Найм и HR|AI/ML
4151,Процессы разработки|Найм и HR|AI/ML
4152,Процессы разработки|Найм и HR|Тестирование|AI/ML|Удаленка и офис
4153,Процессы разработки|Найм и HR|AI/ML
4154,Процессы разработки|Найм и HR|Тестирование|AI/ML|Удаленка и офис
4155,Процессы разработки|Найм и HR|AI/ML
4156,Процессы разработки|Найм и HR|Тестирование|AI/ML|Удаленка и офис
4160,Управление командой|Процессы разработки|Найм и HR|AI/ML
4163,Процессы разработки|AI/ML
4164,Процессы разработки
4165,Общие вопросы
4167,Общие вопросы
4168,Найм и HR
4169,Общие вопросы
4171,Общие вопросы
4173,Управление командой|Найм и HR
4175,Управление командой
4176,Управление командой
4177,Управление командой
4178,Управление командой|Технический рост
4179,Управление командой|Технический рост
4181,Общие вопросы
4183,Конфликты и проблемы
4184,Общие вопросы
4185,Общие вопросы
4186,Общие вопросы
4187,Общие вопросы
4188,Общие вопросы
4189,Общие вопросы
4190,Общие вопросы
4192,Общие вопросы
4193,Общие вопросы
4194,Управление командой
4195,Общие вопросы
4196,Общие вопросы
4197,Общие вопросы
4199,Общие вопросы
4200,Общие вопросы
4201,Общие вопросы
4202,Общие вопросы
4203,Общие вопросы
4204,Общие вопросы
4205,Общие вопросы
4206,Общие вопросы
4207,Общие вопросы
4208,Общие вопросы
4209,Общие вопросы
4210,Общие вопросы
4211,Общие вопросы
4213,Общие вопросы
4214,Общие вопросы
4215,Общие вопросы
4216,Общие вопросы
4217,Общие вопросы
4218,Управление командой
4219,Управление командой
4220,Управление командой
4221,Управление командой
4222,Управление командой
4223,Управление командой
4224,Управление командой
4225,Управление командой
4229,Процессы разработки|Архитектура|AI/ML|Конфликты и проблемы|Технический рост|Метрики и KPI|Удаленка и офис
4230,Управление командой|Процессы разработки|Найм и HR|Тестирование|AI/ML|Конфликты и проблемы|Технический рост|Удаленка и офис
4232,Управление командой|Процессы разработки|Тестирование|AI/ML|Конфликты и проблемы|Технический рост|Удаленка и офис
4233,Процессы разработки|Архитектура|AI/ML|Конфликты и проблемы|Технический рост|Удаленка и офис
4235,Процессы разработки|Найм и HR|Архитектура|AI/ML|Конфликты и проблемы|Технический рост|Удаленка и офис
4236,Управление командой|Процессы разработки|Найм и HR|Архитектура|AI/ML|Конфликты и проблемы|Технический рост|Удаленка и офис
4237,Найм и HR|AI/ML|Конфликты и проблемы|Технический рост
4239,Найм и HR|AI/ML|Конфликты и проблемы|Технический рост
4240,Найм и HR|Архитектура|AI/ML|Конфликты и проблемы|Технический рост
4241,Найм и HR|AI/ML|Технический рост
4242,Найм и HR|Архитектура|AI/ML
4243,Найм и HR|Архитектура|AI/ML
4244,Найм и HR|Архитектура|Тестирование|AI/ML|Технический рост
4245,Найм и HR|Архитектура|Тестирование|AI/ML
4246,Найм и HR|Архитектура|Тестирование|AI/ML
4247,Найм и HR|Архитектура|Тестирование|AI/ML|Конфликты и проблемы
4248,Процессы разработки|Найм и HR|Тестирование|AI/ML|Конфликты и проблемы|Технический рост
4249,Найм и HR|Тестирование|AI/ML|Конфликты и проблемы
4250,Найм и HR|Архитектура|Тестирование|Конфликты и проблемы
4251,Найм и HR|Архитектура|Тестирование|Конфликты и проблемы
4252,Управление командой|Найм и HR|Архитектура|Тестирование|Конфликты и проблемы|Технический рост
4253,Управление командой|Процессы разработки|Найм и HR|Тестирование|Конфликты и проблемы|Технический рост
4254,Управление командой|Найм и HR|Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI
4255,Управление командой|Найм и HR|Архитектура|Тестирование|Конфликты и проблемы
4256,Управление командой|Найм и HR|Тестирование|Конфликты и проблемы|Метрики и KPI
4257,Управление командой|Найм и HR|Тестирование|Конфликты и проблемы|Метрики и KPI
4258,Управление командой|Найм и HR|Тестирование|Конфликты и проблемы|Технический рост
4259,Управление командой|Найм и HR|Тестирование|Технический рост
4260,Управление командой|Найм и HR|Тестирование
4261,Управление командой|Найм и HR|Конфликты и проблемы
4262,Управление командой|Найм и HR
4263,Управление командой|Найм и HR|Технический рост
4264,Управление командой|Найм и HR|Архитектура|Тестирование
4265,Найм и HR|Тестирование
4267,Найм и HR
4268,Найм и HR
4269,Найм и HR
4270,Архитектура|Тестирование
4271,Общие вопросы
4272,Управление командой|Найм и HR|Архитектура|Тестирование
4274,Управление командой|Найм и HR
4275,Управление командой|Найм и HR
4276,Управление командой|Тестирование
4279,Управление командой
4280,Управление командой|Найм и HR|Тестирование|Технический рост
4281,Управление командой|Найм и HR|Технический рост
4282,Управление командой
4283,Управление командой|Тестирование
4284,Управление командой|Найм и HR|Тестирование
4286,Управление командой|Найм и HR|Тестирование
4287,Управление командой|Тестирование|Конфликты и проблемы
4288,Управление командой|Тестирование
4289,Управление командой|Тестирование
4290,Управление командой|Тестирование
4291,Управление командой|Найм и HR|Тестирование
4292,Управление командой|Тестирование
4293,Управление командой|Найм и HR|Тестирование
4294,Управление командой|Тестирование
4295,Управление командой|Найм и HR|Тестирование|Удаленка и офис
4296,Управление командой
4297,Управление командой
4298,Управление командой|AI/ML
4299,Управление командой
4300,Управление командой
4301,Конфликты и проблемы
4303,Управление командой|Конфликты и проблемы
4304,Управление командой|Найм и HR|Конфликты и проблемы
4305,Управление командой|Найм и HR|Конфликты и проблемы
4307,Управление командой|Найм и HR|Конфликты и проблемы
4308,Управление командой|Найм и HR|Конфликты и проблемы
4309,Управление командой|Найм и HR|Конфликты и проблемы
4310,Управление командой|Найм и HR
4311,Управление командой|Найм и HR
4312,Управление командой|Найм и HR
4313,Управление командой|Найм и HR
4314,Управление командой|Процессы разработки|Найм и HR
4315,Управление командой|Процессы разработки|Найм и HR
4316,Управление командой|Процессы разработки|Найм и HR
4317,Управление командой|Процессы разработки|Найм и HR
4318,Процессы разработки|Найм и HR
4319,Процессы разработки|Найм и HR
4320,Управление командой|Процессы разработки|Найм и HR
4322,Процессы разработки|Найм и HR
4323,Процессы разработки|Найм и HR
4324,Процессы разработки|Найм и HR
4325,Управление командой|Процессы разработки|Найм и HR
4326,Управление командой|Найм и HR
4327,Управление командой|Найм и HR
4328,Управление командой
4329,Управление командой
4330,Управление командой|Найм и HR
4331,Управление командой|Конфликты и проблемы
4332,Управление командой|Конфликты и проблемы|Метрики и KPI
4333,Управление командой|Конфликты и проблемы
4334,Управление командой|Архитектура|Конфликты и проблемы
4335,Управление командой|Конфликты и проблемы
4336,Архитектура|Конфликты и проблемы
4337,Конфликты и проблемы
4338,Конфликты и проблемы
4339,Конфликты и проблемы
4340,Общие вопросы
4341,Общие вопросы
4342,Общие вопросы
4343,Общие вопросы
4344,Управление командой
4348,Общие вопросы
4349,Управление командой
4350,Общие вопросы
4352,Общие вопросы
4353,Управление командой
4354,Конфликты и проблемы|Удаленка и офис
4355,Общие вопросы
4356,Конфликты и проблемы|Удаленка и офис
4357,Общие вопросы
4359,Общие вопросы
4360,Общие вопросы
4361,Общие вопросы
4362,Общие вопросы
4363,Общие вопросы
4364,Тестирование
4365,Тестирование
4366,Тестирование
4367,Тестирование
4368,Тестирование|Конфликты и проблемы
4369,Управление командой|Тестирование
4370,Управление командой|Тестирование|Конфликты и проблемы
4371,Управление командой|Тестирование
4372,Управление командой|Тестирование
4373,Управление командой|Тестирование
4374,Управление командой
4375,Управление командой|Конфликты и проблемы
4376,Управление командой|Конфликты и проблемы
4377,Управление командой|Архитектура|Конфликты и проблемы
4378,Управление командой|Конфликты и проблемы
4379,Управление командой|Конфликты и проблемы
4380,Управление командой|Конфликты и проблемы
4381,Управление командой|Конфликты и проблемы
4382,Управление командой|Конфликты и проблемы
4383,Управление командой|Конфликты и проблемы
4384,Управление командой|Конфликты и проблемы
4385,Управление командой|Конфликты и проблемы
4386,Управление командой|Конфликты и проблемы
4387,Управление командой
4388,Управление командой
4389,Управление командой|Архитектура
4390,Управление командой|Архитектура
4391,Управление командой|Архитектура
4392,Управление командой|Архитектура|Метрики и KPI
4393,Управление командой|Архитектура
4394,Управление командой|Архитектура|Метрики и KPI
4395,Управление командой|Архитектура
4396,Управление командой|Архитектура|Конфликты и проблемы
4397,Архитектура|Тестирование|Конфликты и проблемы
4398,Архитектура
4399,Архитектура
4400,Управление командой|Архитектура|Конфликты и проблемы
4401,Тестирование
4402,Общие вопросы
4403,Управление командой|Архитектура|Тестирование
4404,Управление командой|Архитектура
4405,Управление командой|Архитектура|Технический рост
4406,Управление командой|Архитектура
4407,Управление командой|Архитектура
4408,Управление командой|Архитектура|Технический рост
4409,Управление командой|Архитектура|Технический рост
4410,Управление командой|Архитектура|Технический рост
4411,Управление командой|Архитектура
4412,Управление командой|Архитектура
4414,Управление командой|Архитектура|Технический рост
4415,Управление командой|Архитектура
4416,Управление командой|Архитектура|Конфликты и проблемы
4417,Управление командой|Архитектура|Технический рост
4418,Управление командой|Архитектура|Конфликты и проблемы
4419,Управление командой|Архитектура
4420,Управление командой|Архитектура
4421,Управление командой|Архитектура
4422,Архитектура
4423,Архитектура
4424,Архитектура
4425,Архитектура
4426,Архитектура
4427,Архитектура
4428,Архитектура|Конфликты и проблемы
4429,Архитектура|Конфликты и проблемы
4430,Архитектура|Конфликты и проблемы
4431,Архитектура|Конфликты и проблемы
4432,Архитектура|Конфликты и проблемы
4433,Архитектура|Конфликты и проблемы
4434,Архитектура|Конфликты и проблемы
4436,Архитектура|Конфликты и проблемы
4435,Архитектура|Конфликты и проблемы
4437,Архитектура|Конфликты и проблемы
4438,Архитектура|Конфликты и проблемы
4439,Архитектура
4440,Архитектура
4441,Архитектура
4442,Архитектура
4443,Архитектура
4444,Архитектура
4445,Архитектура
4447,Общие вопросы
4448,Общие вопросы
4449,Тестирование
4450,Тестирование
4451,Архитектура|Тестирование
4453,Архитектура|Тестирование
4454,Архитектура|Тестирование
4455,Тестирование
4456,Тестирование|Метрики и KPI
4457,Тестирование
4458,Тестирование
4459,Тестирование|Метрики и KPI
4460,Тестирование
4461,Тестирование|Метрики и KPI
4462,Общие вопросы
4464,Архитектура
4465,Архитектура
4466,Архитектура
4467,Архитектура
4468,Архитектура
4469,Архитектура
4470,Архитектура
4471,Управление командой|Найм и HR|Архитектура|Технический рост
4472,Управление командой|Найм и HR|Архитектура|Технический рост
4473,Управление командой|Найм и HR|Архитектура|Технический рост
4474,Управление командой|Найм и HR|Архитектура|Технический рост
4475,Управление командой|Найм и HR|Архитектура|Технический рост
4476,Управление командой|Найм и HR|Архитектура|Тестирование|Технический рост
4477,Управление командой|Найм и HR|Архитектура|Тестирование|Технический рост
4478,Управление командой|Найм и HR|Тестирование|Технический рост
4479,Управление командой|Найм и HR|Тестирование|Технический рост
4480,Управление командой|Найм и HR|Тестирование|Технический рост
4481,Управление командой|Найм и HR|Архитектура|Тестирование|Технический рост|Метрики и KPI
4486,Управление командой|Архитектура|Тестирование|Метрики и KPI
4487,Управление командой|Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
4488,Управление командой|Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
4490,Управление командой|Архитектура|Тестирование|Метрики и KPI
4492,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|Метрики и KPI
4493,Управление командой|Архитектура|Тестирование|AI/ML|Метрики и KPI
4494,Управление командой|Архитектура|Тестирование|Метрики и KPI
4495,Управление командой|Архитектура|Метрики и KPI
4496,Управление командой|Архитектура|Метрики и KPI
4497,Управление командой|Архитектура|Метрики и KPI
4500,Архитектура|AI/ML
4501,Архитектура|AI/ML
4502,Архитектура
4503,Архитектура
4504,Архитектура
4506,Архитектура|AI/ML
4507,Архитектура|AI/ML
4508,Общие вопросы
4509,Общие вопросы
4512,Тестирование|AI/ML|Технический рост
4513,Архитектура|Тестирование|AI/ML
4514,Архитектура|Тестирование|AI/ML
4516,Тестирование|AI/ML
4517,Тестирование|AI/ML|Технический рост
4518,Тестирование|AI/ML|Технический рост
4519,Тестирование|AI/ML
4520,Тестирование|AI/ML
4521,Тестирование|AI/ML
4522,Тестирование|AI/ML|Метрики и KPI
4523,AI/ML
4524,AI/ML
4525,Процессы разработки|AI/ML
4526,AI/ML
4527,Процессы разработки|AI/ML
4528,AI/ML
4529,AI/ML
4530,AI/ML
4531,AI/ML
4532,AI/ML
4533,AI/ML
4535,AI/ML
4536,AI/ML
4537,Тестирование
4538,Общие вопросы
4539,Общие вопросы
4540,Тестирование
4541,Тестирование
4542,Тестирование
4543,Тестирование
4544,Тестирование|AI/ML
4545,Тестирование|AI/ML
4547,Тестирование|AI/ML
4548,Тестирование|AI/ML|Технический рост
4549,Тестирование|AI/ML
4550,Тестирование|AI/ML|Технический рост
4551,Процессы разработки|Тестирование|AI/ML|Конфликты и проблемы|Технический рост
4553,Тестирование|AI/ML|Технический рост
4554,AI/ML|Технический рост
4555,Процессы разработки|AI/ML|Конфликты и проблемы|Технический рост
4556,AI/ML|Технический рост
4557,AI/ML|Конфликты и проблемы|Технический рост
4558,AI/ML|Технический рост
4560,AI/ML|Технический рост
4561,AI/ML|Технический рост
4562,AI/ML|Технический рост
4563,AI/ML
4564,Архитектура|AI/ML
4565,Архитектура|AI/ML
4566,Архитектура|AI/ML
4567,Архитектура|AI/ML
4571,Архитектура
4572,Управление командой|Архитектура
4573,Архитектура
4574,Архитектура|AI/ML|Метрики и KPI
4575,Архитектура|AI/ML|Метрики и KPI
4576,Архитектура|Метрики и KPI
4577,Архитектура|Конфликты и проблемы|Метрики и KPI
4578,AI/ML|Технический рост|Метрики и KPI
4579,Архитектура|AI/ML|Технический рост|Метрики и KPI
4580,Метрики и KPI
4581,Архитектура|AI/ML|Метрики и KPI
4582,AI/ML|Метрики и KPI
4584,AI/ML|Метрики и KPI
4585,Архитектура|AI/ML|Метрики и KPI
4586,Управление командой
4587,Управление командой|Архитектура|AI/ML
4589,Управление командой|Архитектура|AI/ML
4590,Управление командой|Архитектура|AI/ML
4591,Управление командой|Архитектура|Конфликты и проблемы
4592,Управление командой|Архитектура|Конфликты и проблемы
4593,Управление командой|Архитектура|AI/ML|Конфликты и проблемы
4594,Управление командой|Архитектура|AI/ML|Конфликты и проблемы
4595,Управление командой|Архитектура|AI/ML|Конфликты и проблемы
4599,Управление командой|Архитектура|AI/ML|Конфликты и проблемы
4600,Управление командой|Архитектура|AI/ML|Конфликты и проблемы
4603,Архитектура|AI/ML
4604,AI/ML
4605,AI/ML
4606,AI/ML
4607,AI/ML
4608,AI/ML
4609,AI/ML
4610,AI/ML
4611,AI/ML
4613,AI/ML
4614,AI/ML
4616,AI/ML
4617,Найм и HR
4618,Общие вопросы
4620,Общие вопросы
4621,Процессы разработки|Найм и HR|Тестирование|AI/ML|Метрики и KPI
4622,Найм и HR|AI/ML|Конфликты и проблемы
4623,Найм и HR|AI/ML|Конфликты и проблемы
4625,Конфликты и проблемы
4626,Общие вопросы
4627,Управление командой|Найм и HR
4628,Общие вопросы
4629,Общие вопросы
4630,Управление командой|Найм и HR
4631,Общие вопросы
4632,Общие вопросы
4633,Общие вопросы
4634,Общие вопросы
4635,Общие вопросы
4637,Общие вопросы
4638,Общие вопросы
4639,Общие вопросы
4640,Общие вопросы
4641,Общие вопросы
4642,Общие вопросы
4643,Общие вопросы
4645,Конфликты и проблемы
4646,Конфликты и проблемы
4647,Конфликты и проблемы
4648,Конфликты и проблемы
4649,Конфликты и проблемы
4650,Архитектура|Тестирование|Конфликты и проблемы
4651,Конфликты и проблемы
4653,Архитектура|Тестирование|Конфликты и проблемы
4654,Конфликты и проблемы
4655,Конфликты и проблемы
4656,Тестирование|Конфликты и проблемы
4657,Общие вопросы
4658,Общие вопросы
4659,Общие вопросы
4660,Общие вопросы
4661,Общие вопросы
4662,Общие вопросы
4665,Общие вопросы
4666,Архитектура|Тестирование
4667,Процессы разработки|Тестирование
4668,Процессы разработки|Тестирование|Конфликты и проблемы
4669,Тестирование
4670,Тестирование
4671,Тестирование|Конфликты и проблемы
